rank,name,author,release_year
1,"A Court of Splintered Harmony","Sarah J. Maas",2026
2,"The Names","Florence Knapp",2026
3,"Threshing Day (Limited Deluxe Edition)","Rebecca Yarros",2026
4,"Gruffalo Granny","Julia Donaldson",2026
5,"The Correspondent","Virginia Evans",2025
6,"Verity","Colleen Hoover",2018
7,"Yesteryear","Caro Claire Burke",2026
8,"The Wedding People","Alison Espach",2024
9,"We Chase Shadows","Richard Osman",2026
10,"Never Lie","Freida McFadden",2022
11,"Guess How Much I Love You","Sam McBratney",1994
12,"The Cauldron: The Making of the Modern Middle East","Simon Sebag Montefiore",2026
13,"London Falling","Patrick Radden Keefe",2026
14,"Sticker Dolly Dressing K-POP","Lesley Sims",2026
15,"It's Not What You Think","Clare Mackintosh",2026
16,"The Courage To Be Disliked","Ichiro Kishimi",2013
17,"Broken Country","Clare Leslie Hall",2025
18,"Great and Unfortunate Things","Jason Arday",2026
19,"The Let Them Theory","Mel Robbins",2024
20,"Atomic Habits","James Clear",2018
21,"Cozy Corner","Coco Wyo",2025
22,"The Nightingale","Kristin Hannah",2015
23,"Murdoku: 80 Murder Mystery Logic Puzzles","M. Garand",2025
24,"My Husband's Wife","Alice Feeney",2026
25,"The Very Hungry Caterpillar","Eric Carle",1969
26,"The Housemaid's Secret","Freida McFadden",2023
27,"Where are Woody and Buzz?","The Walt Disney Company Ltd",2026
28,"The Psychology of Money","Morgan Housel",2020
29,"Iron Flame","Rebecca Yarros",2023
30,"The Women","Kristin Hannah",2024
31,"Happy Birthday, Gruffalo!","Julia Donaldson",2026
32,"Onyx Storm","Rebecca Yarros",2025
33,"The Housemaid","Freida McFadden",2022
34,"A Court of Thorns and Roses","Sarah J. Maas",2015
35,"Sunrise on the Reaping","Suzanne Collins",2025
36,"Agrippa","Robert Harris",2026
37,"Ward D","Freida McFadden",2022
38,"Careless People","Sarah Wynn-Williams",2025
39,"Fourth Wing","Rebecca Yarros",2023
40,"The Surrogate Mother","Freida McFadden",2023
41,"The Divorce","Freida McFadden",2026
42,"What Happened Yesterday","Matt Sturniolo",2026
43,"The Housemaid Is Watching","Freida McFadden",2024
44,"The Secret of Secrets","Dan Brown",2025
45,"The Official Highway Code","Driver and Vehicle Standards Agency: Department for Transport",2026
46,"A Court of Silver Flames","Sarah J. Maas",2021
47,"Cozy Days","Coco Wyo",2025
48,"Keeping 13","Chloe Walsh",2023
49,"No More Nappies","Campbell Books",2026
50,"Land","Maggie O'Farrell",2026
51,"The Impossible Fortune","Richard Osman",2025
52,"My Friends","Fredrik Backman",2025
53,"A Court of Wings and Ruin","Sarah J. Maas",2017
54,"Dear Zoo","Rod Campbell",1982
55,"Secret Code Games for Clever Kids","Dr Gareth Moore",2016
56,"Do Not Disturb","Freida McFadden",2021
57,"Brain Damage","Freida McFadden",2016
58,"Odyssey","Stephen Fry",2024
59,"CGP Summer Holidays Activity Workbook - for kids between Reception and Year 1","CGP Books",2026
60,"Where's Spidey?: A Marvel Spider-Man Search & Find Book","Marvel Entertainment International Ltd",2026
61,"Atmosphere: A Love Story","Taylor Jenkins Reid",2025
62,"An Inspector Calls","J.B. Priestley",1945
63,"A Court of Frost and Starlight","Sarah J. Maas",2018
64,"The Long Shoe","Bob Mortimer",2026
65,"The Odyssey","Homer",2026
66,"The Score","Elle Kennedy",2016
67,"The Mistake","Elle Kennedy",2015
68,"Project Hail Mary","Andy Weir",2021
69,"One by One","Freida McFadden",2020
70,"Ultimate Football Heroes Colouring Book","Ultimate Football Heroes",2026
71,"The Bedtime Book of Impossible Questions","Isabel Thomas",2026
72,"Murdle: Solve 100 Devilishly Devious Murder Mystery Logic Puzzles","G. T. Karber",2023
73,"Ready for My Potty","Amanda Jenner",2026
74,"On the Farm","Campbell Books",2026
75,"FAKE NEWS: THE SECRET DEAL BETWEEN GOVERNMENT AND THE MEDIA","Mike Graham",2026
76,"Binding 13","Chloe Walsh",2018
77,"The Housemaid's Wedding","Freida McFadden",2024
78,"Cozy Friends","Coco Wyo",2026
79,"Summer Island","Kristin Hannah",2002
80,"The Turtle Who Turned the Tide","Rachel Bright",2026
81,"The Family Friend","Claire Douglas",2026
82,"Regime Change","Maggie Haberman",2025
83,"The Deal","Elle Kennedy",2015
84,"Girl Moments","Coco Wyo",2026
85,"The Things We Never Say","Elizabeth Strout",2026
86,"Saving 6","Chloe Walsh",2024
87,"The Seriously Epic Holiday of Lottie Brooks","Katie Kirby",2026
88,"The Satsuma Complex","Bob Mortimer",2022
89,"To the Women - The New Collection of Wise Words Every Woman Needs","Donna Ashworth",2026
91,"The From Scratch Kitchen","Bob Dickinson",2026
93,"We Solve Murders","Richard Osman",2024
94,"Fourth Wing: The Graphic Novel, Volume One (Deluxe Edition)","Rebecca Yarros",2026
95,"Theo of Golden","Allen Levi",2023
96,"How Lucky Am I","Christian Watson",2026
97,"Jonty Gentoo - The Adventures of a Penguin","Julia Donaldson",2024
98,"The History of Mankind in Its Entirety (Abridged): An Unsupervised PhD","Fin Taylor",2026
99,"Disney Princess: The Ultimate Colouring Book","Walt Disney",2026
100,"First Writing Workbook Ages 3-5","Collins Easy Learning",2026
